S.No.,Track Title,Artist Name,Album,Writer,Othername,ISNI code,IPI code,ISRC,SESAC Work ID,SESAC Publisher,ASCAP Work ID,ASCAP Publisher,ASCAP Publishers' IPI,BMI Work ID,BMI Publisher,GMR Work ID,GMR Publisher,GMR Publishers' IPI
58,Toxic,Britney spears,not found,Christian Karlsson,not found,['0000000109898265'],['00353662065'],caedbf7d-4f49-4404-ba56-419a5bda6435,582220,JILLIAN DVG MUSIC,500702627,ARLOVOL MUSIC,589665378,4096254,USA ATMOSPHERE MUSIC PUBLISHING,100083440,not found,not found
59,Wake up,Travis Scott,Straining at the Leash,Jacques Webster II,Jacques Berman Webster II,['0000000384091917'],['00682273039'],34b6191c-a80e-4713-af10-bb780a2adac7,455,NEUTRINO MUSIC,230073275,not found,not found,28011587,EMI BLACKWOOD MUSIC INC,100068233,FOX GLOBAL MUSIC INC,801538365
60,Float on,The Floaters,As 100 Mais Da Antena 1,Issac Brock,Floaters,not found,not found,d736d0ce-3dda-4098-aa6d-b1782dfb41f5,38109,CENTURY MUSIC PUB CO INC,360317846,MAR-TUNE MUSIC,87981416,425031,SONGS OF UNIVERSAL INC,not found,not found,not found
61,Moment of Surrender,U2,"2010-10-08: Stadio Olimpico, Rome, Italy",U2,U2 Kiwi,['0000000121505903'],not found,b1f3562f-ab9b-429a-aaa6-3a5ac8e96b22,not found,not found,433831115,UNIVERSAL MUSIC CORPORATION,31312147,10433626,UPALA MUSIC INC,not found,not found,not found
62,The rising,Bruce Springsteen,Springsteen on Broadway,Traditional,The Boss,['0000000121418834'],['00076333277'],1c8c9414-4c04-42b0-9a55-a7a6278577ae,130497,FILMTRAX INC,502210039,BBC WORLDWIDE MUSIC,263793536,15875409,SONGS OF UNIVERSAL INC,100051071,"TOWSER TUNES
",347220
63,Yellow,Coldplay,LIVE - Paris 2008.02.27,Chris Martin,Cold Play,['000000011551394X'],not found,a1a1697c-7fcf-4628-84e4-ae2acdbfb039,12802,KENDOR MUSIC INC,550070065,not found,not found,9242383,not found,100048036,INNOCENT BYSTANDER,334034106
64,One more time,Daft Punk,BEST OF ELECTRO STEP,Thomas Bangalter,Duft Punk,['0000000123531208'],not found,eb2afe23-cdb8-4809-9498-7b95443904c4,117295,ROBERTS & BRADSHAW MUSIC,150023382,not found,not found,5404295,TTUFF TTONY MUSIC,100054101,HUDMAR PUBLISHING CO INC,14526117
65,Take me out,Franz Ferdinand,"Live at Forest National Club, Brussels",Alex Kapranos,"Ferdinand, Franz",not found,not found,cb7ee449-3ae8-4eb7-b864-c90716cd60bf,148345,JERRY LA ROSA MUSIC,500345620,UNIVERSAL MUSIC CORPORATION,31312147,9905295,:GO BACK TO SLEEP MUSIC,not found,not found,not found
66,Gold Digger,Kanye West,Rectangle's Big Adventure,Kanye west,Kanye Omari West,"['0000000116557565', '0000000362939198']","['00335677734', '00451108296']",c6fad580-504a-4a0a-9ee4-19d63848b69c,539559,RELIABLE SOURCE MUSIC LIMITED,370199303,NEW ORLEANS KOLAB INTERNATIONAL MUSIC,246044388,7583980,EMI BLACKWOOD MUSIC INC,not found,not found,not found
67,Everything in its right place,Radiohead,"2003-06-02: Musique Plus, Montréal, QC, Canada",Radiohead,r/head,['0000000115475162'],not found,ac56d103-b8d5-42aa-a8e3-36679006554f,not found,not found,350273377,WARNER CHAPPELL MUSIC LTD,160187388,25285812,B LION MUSIC,not found,not found,not found
68,Umbrella,Rihanna,not found,Christopher Stewart,not found,['0000000114766419'],"['00479976469', '00479976665', '00486793099']",242439c5-476a-4ac4-9be5-9118df9f2340,24137,CHART-MUSIC PUBL HOUSE INC,510148995,UNIVERSAL POLYGRAM INTERNATIONAL PUBLISHING INC,343892736,4077242,LOUD MOUSE MUSIC,100084111,WE ARE CREATIVE NATION,816507735
69,Cry me a river,Justin Timberlake,100x Liefde: Editie 2010,Justin Timberlake,Justin Randall Timberlake,['000000011450569X'],['00345256954'],52c5b750-04ee-4fdb-b37d-289f049759c3,26921,J M HENSON MUSIC CO,330112417,CHAPPELL-CO INC,5876870,261641,EMBASSY MUSIC CORPORATION,not found,not found,not found
70,Lose yourself,Eminem,Hip Hop da Moda,Eminem,Ominem,"['0000000117699370', '0000000368611900']","['00354929235', '00354929431']",69e8e5b0-89d5-4cfc-9dfc-49e1aea57290,94038,not found,420634282,REDD MONSTER PUBLISHING,338714548,6152528,EIGHT MILE STYLE MUSIC,100001861,MORE WATER FROM NAZARETH PUBLISHING INC,602234598
71,Beautiful day,U2,Kings of the Castle,U2,U2 Kiwi,['0000000121505903'],not found,1fbcbaeb-98cb-4e99-9dd1-a990d1654a55,10607,HALDOR LILLENAS,320162598,MARLOWLYNN LTD,160210919,16126288,ACHTOBER SONGS,100055005,not found,not found
72,Seven nation army,The White Stripes,not found,Jack White,not found,['0000000122537931'],not found,48c29ccd-219d-4f72-b697-a2b2a976bdba,767800,1980 PUBLISHINGS,883982004,EMI MUSIC PUBLISHING LTD,87019563,6406560,PEPPERMINT STRIPE MUSIC,not found,not found,not found
73,Hey ya,OutKast,Veronica album top 1000 allertijden,Andre 3000,Outcast.,['000000011537277X'],not found,e864d32b-7ceb-4657-9696-250487a91f68,22940,S H E BROADCAST PRODUCTIONS CO,380786570,BMG MONARCH,744673419,563859,EMI UNART CATALOG INC,not found,not found,not found
74,Crazy in Love,Beyonce,Hits for Kids 11,Rich Harrison,Beyoncé Knowles-Carter,['0000000114914936'],['00341826274'],273dd76a-748c-4c55-926f-4e3af78ecbb1,507905,ASIAMARK PUBLISHING,330302177,EMI JEMAXAL MUSIC INC,340111233,6483135,EMI BLACKWOOD MUSIC INC,100058608,WARNER-GRANDVIEW MUSIC,not found
75,All my friends,Snakehips,Beach Club,Snakehips Cass Lowe,not found,not found,not found,87973e8c-a38e-4538-97f0-d03e28b9e68a,697953984,UNIVERSAL POLYGRAM INTERNATIONAL TUNES INC,310134100,CHAPPELL-CO INC,5876870,8677292,BMG BUMBLEBEE,100071213,MUSIC BY SMITH,847397783
76,Mr brightside,The Killers,We Won't Stop: A Compilation of Covers for ACLU,Brandon Flowers,"Killers, The",not found,not found,d6723cb9-6825-4bbc-acd3-e1f2536f2b7c,652329,BREUKELEN MUSIC PUBLISHING,not found,not found,not found,5712077,not found,not found,not found,not found
77,Single Ladies,Beyonce,Life Is but a Dream / Live in Atlantic City,Beyonce Knowles,Beyoncé Knowles-Carter,['0000000114914936'],['00341826274'],92e37099-d566-41ce-9e67-af0063f00509,not found,not found,496106737,2082 MUSIC PUBLISHING,461641073,13976976,CONCORD COPYRIGHTS,not found,not found,not found
78,Pyramid Song,Radiohead,Amnesiac,Radiohead,r/head,['0000000115475162'],not found,45e6908d-b34d-422f-b7a1-1f37e18f9aa0,not found,not found,460463098,WARNER CHAPPELL MUSIC LTD,160187388,5930855,AGE OF REASON,not found,not found,not found
79,My city of ruins,Bruce Springsteen,Greetings From Asbury Park,not found,The Boss,['0000000121418834'],['00076333277'],707d38e8-c4bb-42a8-ab24-838bef92a062,688604838,ZFC MUSIC,430700208,not found,not found,not found,not found,100051952,SPRINGSTEEN BRUCE,36951665
80,Stillness is the move,Dirty Projectors,NBA2K13,not found,The Dirty Projectors,not found,not found,291a3267-b560-410a-bc33-e66fb4a26156,687017,DOMINO PUB COMPANY OF AMERICA,not found,not found,not found,16445813,EASY TEMPO,not found,not found,not found
81,You Should Be Sad,Halsey,Manic,Ashley Frangipane,Ashley Nicolette Frangipaine,['0000000451160151'],['00739536702'],b60b799c-1ec3-4f64-affc-250797d27f58,not found,not found,906285786,EMI APRIL MUSIC INC,128633767,41125317,17 BLACK MUSIC,not found,not found,not found
82,Imported,Jessie Reyez,Being Human in Public,Jessie Reyez,not found,['0000000467123611'],not found,912a271a-f670-4e66-90bb-4fedf4403bcb,828111,UNIVERSAL TUNES,880946679,GOOD EARNER,602346485,30489536,not found,not found,not found,not found
83,All in My Head,Fifth Harmony,All in My Head (Flex),Dinah Jane,1432,not found,not found,41f2587a-78c6-4420-8fb1-64af4c957790,661341,SONGS WITHOUT BORDERS,10117410,WARNER CHAPPELL MUSIC FINLAND OY,255295942,22604,ORIGINAL SINSONGS,100061356,PLEASE DON'T FORGET TO PAY ME MUSIC,799869431
84,All the Cool Girls,Hailey Whitters,The Dream,Tove Nilsson,Hailey Faith Whitters,not found,['00594086123'],83ce3218-2865-4005-8fd9-af63c945531e,not found,not found,893862537,INKOMPETENT KOSMONAUT PUBLISHING,716467234,28636815,BIG ASS PILE OF DIMES MUSIC,not found,not found,not found
85,No Time to Die,Billie Eilish,No Time to Die,Billie Eilish,Billie Eilish Pirate Baird O’Connell,['000000046748058X'],['00792187700'],14848e6d-61fa-49f2-9e22-883e285a3a76,155254,G I A PUBLICATIONS INC,884374127,WE ARE UNIFIED PTY LTD,652015382,1079354,not found,not found,not found,not found
86,Fried for the Night,Tokimonsta,Fried for the Night,Gerald Fried,tokimonsta,not found,not found,15c06879-cd1a-4b82-b89d-0bb8f36a388b,not found,not found,906500038,TOKIMONSTA PUBLISHING,701802682,42076865,DOCTUR DOT PUBLISHING,not found,not found,not found
