Name,Age,Date of Birth,Nationality,Debut,Rank,Height in cm,Weight in kg,Title,ID,Gender,Std Rating,Rapid Rating,Blitz Rating,Games,Wins,Draws,Losses,Score in %
"Hansen, Curt",33,1964,DENMARK,1964,291,NOT FOUND,NOT FOUND,GRANDMASTER,1400010,MALE,2596,2596,NOT FOUND,1426,535,675,216,61.19
"Bacrot, Etienne",38,1983,FRANCE,1983,58,135,NOT FOUND,GRANDMASTER,605506,MALE,2678,2667,2673,2576,974,1160,442,60.33
"Hracek, Zbynek",50,1970,CZECHIA,1970,375,NOT FOUND,NOT FOUND,GRANDMASTER,300071,MALE,2565,2559,2534,2111,721,1121,269,60.71
"Kozul, Zdenko",54,1966,CROATIA,1966,259,NOT FOUND,NOT FOUND,GRANDMASTER,14502879,MALE,2597,2504,2543,2761,1282,895,584,62.64
"Novikov, Igor A",58,1962,RUSSIA,1962,424,NOT FOUND,NOT FOUND,GRANDMASTER,14100037,MALE,2554,NOT FOUND,NOT FOUND,1,1,0,0,100
"Sokolov, Ivan",52,1968,NETHERLANDS,1968,269,NOT FOUND,NOT FOUND,GRANDMASTER,14400030,MALE,2595,2626,2526,2824,1140,1189,495,61.42
"Psakhis, Lev",62,1958,ISAREL,1958,1352,NOT FOUND,NOT FOUND,GRANDMASTER,2800012,MALE,2450,2517,NOT FOUND,2129,770,1102,257,62.05
"Jussupow, Artur",61,1960,GERMANY,1960,407,NOT FOUND,NOT FOUND,GRANDMASTER,4618777,MALE,2559,2520,2500,2105,654,1107,344,57.36
"Landa, Konstantin",48,1972,RUSSIA,1972,149,NOT FOUND,NOT FOUND,GRANDMASTER,4101685,MALE,2628,2591,2553,1587,628,721,238,62.29
"Sutovsky, Emil",43,1977,ISAREL,1977,133,165,103,GRANDMASTER,2802007,MALE,2636,2598,2516,1757,722,697,338,60.93
"Tiviakov, Sergei",48,1973,NETHERLANDS,1973,226,NOT FOUND,NOT FOUND,GRANDMASTER,1008013,MALE,2604,2663,2670,2432,1055,1086,301,65.44
"Ftacnik, Lubomir",63,1957,SLOVAKIA,1957,691,NOT FOUND,NOT FOUND,GRANDMASTER,14900017,MALE,2512,2499,2556,2942,1039,1451,452,59.98
"Muzychuk, Mariya",28,1992,UKRAINE,1992,474,NOT FOUND,NOT FOUND,WOMAN GRANDMASTER,14114550,FEMALE,2544,2506,2326,1176,451,416,309,56.04
"Dolmatov, Sergey",62,1959,RUSSIA,1959,453,NOT FOUND,NOT FOUND,GRANDMASTER,4100093,MALE,2560,NOT FOUND,NOT FOUND,1324,421,744,159,59.89
"Morovic Fernandez, Ivan",57,1963,CHILE,1963,711,NOT FOUND,NOT FOUND,GRANDMASTER,3405400,MALE,2510,2578,2503,1116,363,583,170,58.65
"Magomedov, Magaram",54,1966,RUSSIA,1966,914,NOT FOUND,NOT FOUND,GRANDMASTER,4156757,MALE,2503,2464,2486,328,111,133,84,54.12
"Grischuk, Alexander",37,1983,RUSSIA,1983,7,NOT FOUND,NOT FOUND,GRANDMASTER,4126025,MALE,2777,2784,2765,3062,1156,1421,500,60.66
"Dautov, Rustem",55,1965,GERMANY,1965,294,NOT FOUND,NOT FOUND,GRANDMASTER,4623606,MALE,2595,NOT FOUND,NOT FOUND,1263,541,555,167,64.81
"Malakhov, Vladimir",40,1955,RUSSIA,1980,77,NOT FOUND,NOT FOUND,GRANDMASTER,4120787,MALE,2665,2670,2654,1823,742,826,255,63.36
"Smagin, Sergey",62,1958,RUSSIA,1958,511,NOT FOUND,NOT FOUND,GRANDMASTER,4100425,MALE,2551,2443,2440,1035,415,414,206,60.1
"Granda Zuniga, Julio E",49,1967,PERU,1967,142,NOT FOUND,NOT FOUND,GRANDMASTER,3800024,MALE,2630,2609,2624,1597,762,542,293,64.68
"Wang, Zili",52,1968,CHINA,1968,1098,NOT FOUND,NOT FOUND,GRANDMASTER,8600023,MALE,2488,NOT FOUND,NOT FOUND,383,134,162,87,56.14
"Shabalov, Alexander",53,1967,USA,1967,572,NOT FOUND,NOT FOUND,GRANDMASTER,2008572,MALE,2528,2526,2477,2003,951,602,450,62.51
"Cmilyte, Viktorija",37,1983,LITHUANIA,1983,513,NOT FOUND,NOT FOUND,WOMAN GRANDMASTER,12801259,FEMALE,2538,2394,2435,1033,454,310,269,58.95
"Wu, Wenjin",44,1976,CHINA,1976,3255,NOT FOUND,NOT FOUND,GRANDMASTER,8600716,MALE,2357,NOT FOUND,NOT FOUND,271,97,105,69,55.17
"Dorfman, Josif D",68,1952,UKRAINE,1953,500,NOT FOUND,NOT FOUND,GRANDMASTER,604011,MALE,2540,NOT FOUND,2514,1419,422,843,154,59.44
"Baklan, Vladimir",42,1978,UKRAINE,1978,293,NOT FOUND,NOT FOUND,GRANDMASTER,14102196,MALE,2587,2650,2596,1472,624,719,129,66.81
"Giorgadze, Giorgi",56,1964,GEORGIA,1964,334,NOT FOUND,NOT FOUND,GRANDMASTER,13600044,MALE,2584,2550,2562,952,366,457,129,62.45
"Vladimirov, Evgeny",64,1957,KAZAKHSTAN,1957,265,NOT FOUND,NOT FOUND,GRANDMASTER,13700014,MALE,2601,2547,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
"Lputian, Smbat G",62,1958,ARMENIA,1958,374,NOT FOUND,NOT FOUND,GRANDMASTER,13300024,MALE,2574,NOT FOUND,NOT FOUND,1563,590,679,294,59.47
"Najer, Evgeniy",43,1977,RUSSIA,1977,105,NOT FOUND,NOT FOUND,GRANDMASTER,4118987,MALE,2648,2576,2578,1938,799,767,372,61.02
"Yermolinsky, Alex",62,1958,USA,1958,921,NOT FOUND,NOT FOUND,GRANDMASTER,2005492,MALE,2486,2520,2508,1537,618,702,217,63.04
"Kuzmin, Alexey",57,1963,RUSSIA,1963,581,NOT FOUND,NOT FOUND,GRANDMASTER,4100794,MALE,2540,2530,2445,561,225,255,81,62.83
"Lutz, Christopher",49,1971,GERMANY,1971,509,NOT FOUND,NOT FOUND,GRANDMASTER,4600193,MALE,2539,NOT FOUND,NOT FOUND,1323,440,672,211,58.65
"Minasian, Artashes",54,1967,ARMENIA,1967,1085,NOT FOUND,NOT FOUND,GRANDMASTER,13300040,MALE,2472,2470,2556,1158,484,409,265,59.46
"Iordachescu, Viorel",43,1977,MOLDOVA,1977,291,NOT FOUND,NOT FOUND,GRANDMASTER,13900200,MALE,2589,2666,2522,1654,662,742,250,62.45
"Fominyh, Alexander",61,1959,RUSSIA,1959,4900,NOT FOUND,NOT FOUND,GRANDMASTER,4100590,MALE,2302,2400,2382,969,373,446,150,61.51
"Ju, Wenjun",30,1991,CHINA,1991,401,NOT FOUND,NOT FOUND,WOMAN GRANDMASTER,8603006,FEMALE,2560,2610,2536,1362,571,551,240,62.15
