Name,Age,Date of Birth,Gender,Country,Debut,Height in m,Weight in kg,Plays,Rank,Tour Rank,Career wins,Singles Played,Singles Won,Singles Lost,Doubles Played,Doubles Won,Doubles Lost,Mixed Played,Mixed Won,Mixed Lost
Neslihan YIGIT,27,1994,FEMALE,TURKEY,2009,1.8,64,RIGHT,29,24,466,439,316,123,201,134,67,33,16,17
YEO Jia Min,22,1999,FEMALE,SINGAPORE,2012,1.64,55,RIGHT,30,NOT FOUND,161,230,148,82,22,7,15,11,6,5
Phittayaporn CHAIWAN,20,2001,FEMALE,THAILAND,2014,1.64,52,RIGHT,31,10,227,250,184,66,20,8,12,57,35,22
CHEUNG Ngan Yi,28,1993,FEMALE,HONGKONG,2007,1.68,57,RIGHT,32,NOT FOUND,144,264,125,139,17,5,12,19,14,5
Supanida KATETHONG,23,1997,FEMALE,THAILAND,2012,1.63,60,LEFT,33,16,140,170,108,62,23,12,11,43,20,23
Soniia CHEAH,28,1993,FEMALE,MALAYSIA,2008,1.75,65,RIGHT,34,35,144,234,128,106,34,15,19,3,1,2
Line Højmark KJAERSFELDT,27,1994,FEMALE,DENMARK,2010,1.73,NOT FOUND,RIGHT,35,28,295,367,212,155,42,25,17,92,58,34
Iris WANG,26,1994,FEMALE,PASADENA,2007,1.6,49,RIGHT,36,7,238,312,173,139,112,53,59,20,12,8
CHEN Xiao Xin,23,1998,FEMALE,CHINA,2014,1.7,NOT FOUND,RIGHT,37,NOT FOUND,78,134,77,57,3,1,2,NOT FOUND,NOT FOUND,NOT FOUND
Lianne TAN,30,1990,FEMALE,BELGIUM,2006,1.6,54,RIGHT,38,11,231,429,227,202,11,4,7,1,0,1
Julie Dawall JAKOBSEN,23,1998,FEMALE,DENMARK,2014,1.71,NOT FOUND,RIGHT,39,12,263,272,189,83,120,73,47,2,1,1
