Name,Age,Date of Birth,Country,Debut,Gender,Rank,Arrow Length in cm,Draw Weight in kg,Average Arrow,World Cup Gold,World Cup Silver,World Cup Bronze
Gizem Elmaagacli,24,1997,TURKEY,NOT FOUND,FEMALE,37,NOT FOUND,NOT FOUND,9.3,1,NOT FOUND,2
Esmeralda Sanchez,23,1998,MEXICO,2014,FEMALE,38,68.6,20.4,9.3,NOT FOUND,1,NOT FOUND
Layla Annison,19,2001,GREAT BRITAIN,NOT FOUND,FEMALE,39,NOT FOUND,NOT FOUND,9.5,NOT FOUND,1,1
Lola Grandjean,21,2000,FRANCE,NOT FOUND,FEMALE,40,NOT FOUND,NOT FOUND,9.5,NOT FOUND,NOT FOUND,1
Seyedeh-vida Halimianavval,33,1989,IR IRAN,NOT FOUND,FEMALE,41,NOT FOUND,NOT FOUND,9.5,NOT FOUND,3,1
Loh Tze Chieh Contessa,27,1994,SINGAPORE,NOT FOUND,FEMALE,42,NOT FOUND,NOT FOUND,9.5,NOT FOUND,NOT FOUND,1
Maria Jose Zebadua,23,1998,GUATEMALA,2014,FEMALE,43,63.5,21.8,9.2,NOT FOUND,NOT FOUND,NOT FOUND
Huang I-jou,31,1990,CHINESE TAIPEI,NOT FOUND,FEMALE,44,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,3,1
Sofia Paiz,24,1997,EL SALVADOR,2015,FEMALE,45,NOT FOUND,23.6,9.5,NOT FOUND,NOT FOUND,NOT FOUND
Maris Tetsmann,23,1998,ESTONIA,2014,FEMALE,46,NOT FOUND,NOT FOUND,9.3,NOT FOUND,NOT FOUND,NOT FOUND
Julia Boehnke,27,1994,GERMANY,NOT FOUND,FEMALE,46,NOT FOUND,NOT FOUND,9.2,NOT FOUND,NOT FOUND,NOT FOUND
Geesa Bybordy,20,2000,IR IRAN,NOT FOUND,FEMALE,48,NOT FOUND,NOT FOUND,9.6,NOT FOUND,NOT FOUND,1
Sophia Strachan,23,1998,USA,NOT FOUND,FEMALE,49,NOT FOUND,NOT FOUND,NOT FOUND,1,2,1
Chen Yi-hsuan,26,1995,CHINESE TAIPEI,NOT FOUND,FEMALE,50,NOT FOUND,NOT FOUND,NOT FOUND,1,4,NOT FOUND
