Name,Age,Country,Debut,Skill,ODI Matches,ODI Runs,ODI Wickets,ODI Catches,Test Matches,Test Runs,Test Wickets,Test Catches,T20 Matches,T20 Runs,T20 Wickets,T20 Catches
BJ Hodge,45,Australia,2005,TOP ORDER BATSMAN,25,575,1,16,6,503,0,9,15,183,1,5
Umar Gul,36,Pakistan,2003,BOWLER,130,457,179,17,47,577,163,11,60,165,85,18
AB Dinda,36,India,2009,BOWLER,13,21,12,1,0,0,0,0,9,22,17,1
SP Fleming,47,New zealand,1994,TOP ORDER BATSMAN,280,8037,1,133,111,7172,0,171,5,110,0,2
JA Morkel,39,South Africa,2004,BOWLING ALLROUNDER,58,782,50,15,1,58,1,0,50,572,26,17
AB de Villiers,36,South Africa,2004,WICKETKEEPER BATSMAN,228,9577,7,176,114,8765,2,222,78,1672,0,65
Misbah-ul-Haq,46,Pakistan,2001,MIDDLE ORDER BATSMAN,162,5122,0,66,75,5222,0,50,39,788,0,14
Mohammad Asif,37,Pakistan,2005,BOWLER,38,34,46,5,23,141,106,3,11,9,13,3
GD McGrath,50,Australia,1993,BOWLER,250,115,381,37,124,641,563,38,2,5,5,1
M Muralitharan,48,Srilanka,1992,BOWLER,350,674,534,130,133,1261,800,72,12,1,13,1
M Ntini,43,South Africa,1998,BOWLER,173,199,266,30,101,699,390,25,10,10,6,2
A Kumble,50,India,1990,BOWLER,271,938,337,85,132,2506,1,60,0,0,0,0
MM Patel,37,India,2006,PACE BOWLER,70,74,86,11,13,60,35,6,3,0,4,0
CK Kapugedera,33,Srilanka,2006,MIDDLE ORDER BATSMAN,102,1624,2,31,8,418,0,6,43,703,0,17
PP Ojha,34,India,2008,BOWLER,18,46,21,7,24,89,113,10,6,10,10,1
SR Tendulkar,47,India,1989,TOP ORDER BATSMAN,463,18426,154,140,200,15921,46,115,1,10,1,1
TM Dilshan,44,Srilanka,1999,ALLROUNDER,330,10290,106,123,87,5492,39,88,80,1889,9,31
A Mishra,38,India,2003,BOWLER,36,43,64,5,22,648,76,8,10,0,16,1
AD Mascarenhas,43,England,2007,ALLROUNDER,NOT FOUND,245,13,4,0,0,0,0,14,123,12,7
Younis Khan,43,Pakistan,2000,MIDDLE ORDER BATSMAN,265,7249,3,135,118,10099,9,139,25,442,3,12
Shoaib Akhtar,45,Pakistan,1997,BOWLER,163,394,247,20,46,544,178,12,15,21,19,2
Abdur Razzak,38,Pakistan,2004,BOWLER,153,779,207,32,13,248,28,4,34,41,44,10
CRD Fernando,41,Srilanka,2000,BOWLER,147,239,187,27,40,249,100,10,18,25,18,3
VS Yeligati,35,India,NOT FOUND,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0
L Balaji,39,India,2002,BOWLER,30,120,34,11,8,51,27,1,5,0,10,0
A Mukund,30,India,2011,TOP ORDER BATSMAN,0,0,0,0,7,320,0,6,0,0,0,0
RR Powar,42,India,2004,BOWLER,31,163,34,3,2,13,6,0,0,0,0,0
JP Duminy,36,South Africa,2004,BATTING ALLROUNDER,199,5117,69,82,46,2103,42,38,81,1934,21,35
A Flintoff,42,England,1998,ALLROUNDER,141,3394,169,47,79,3845,226,52,7,76,5,5
T Thushara,39,Srilanka,2003,BOWLER,38,392,50,4,10,94,28,3,6,4,7,2
JD Ryder,36,New zealand,2008,ALLROUNDER,48,1362,12,15,18,1269,5,12,22,457,2,7
KP Pietersen,40,England,2004,TOP ORDER BATSMAN,136,4440,7,40,104,8181,10,62,37,1176,1,14
T Henderson,46,South Africa,1998,BOWLER,0,0,0,0,0,0,0,0,1,0,0,0
Kamran Khan,29,India,2009,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0
RS Bopara,35,England,2007,BATTING ALLROUNDER,120,2695,40,35,13,575,1,6,38,711,16,7
CH Gayle,41,Westindies,1999,ALLROUNDER,301,10480,167,124,103,7214,73,96,58,1627,17,15
MC Henriques,33,Australia,2009,ALLROUNDER,13,105,8,5,4,164,2,1,14,220,7,3
R Bishnoi,20,India,2019,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0
FH Edwards,38,Westindies,2003,BOWLER,50,73,60,4,55,394,165,10,20,10,16,5
KV Sharma,33,India,2014,BOWLER,2,0,0,3,1,8,4,0,1,0,1,0
PC Valthaty,36,India,2009,BATSMAN,0,0,0,0,0,0,0,0,0,0,0,0
RJ Quiney,38,Australia,2012,BATSMAN,0,0,0,0,2,9,0,5,0,0,0,0
AS Raut,33,India,2005,ALLROUNDER,0,0,0,0,0,0,0,0,0,0,0,0
Yashpal Singh,39,India,2001,BATSMAN,0,0,0,0,0,0,0,0,0,0,0,0
M Manhas,41,India,2011,ALLROUNDER,0,0,0,0,0,0,0,0,0,0,0,0
AA Bilakhia,36,India,2005,ALLROUNDER,0,0,0,0,0,0,0,0,0,0,0,0
AN Ghosh,34,India,2015,BATSMAN,0,0,0,0,0,0,0,0,0,0,0,0
BAW Mendis,35,Srilanka,2008,BOWLER,87,188,152,15,19,213,70,2,39,8,66,6
DL Vettori,41,New zealand,1997,ALLROUNDER,295,2253,305,88,113,4531,362,58,34,205,38,9
MN van Wyk,41,South Africa,2003,WICKETKEEPER BATSMAN,17,425,0,10,0,0,0,0,8,225,0,5
RE van der Merwe,35,South Africa,2009,ALLROUNDER,15,96,18,4,0,0,0,0,43,454,54,19
TL Suman,36,India,2003,ALLROUNDER,0,0,0,0,0,0,0,0,0,0,0,0
